Plant Id,Plant Name,Entity Id,Entity Name,County,State,Latitude,Longitude
10,Greene County,195,Alabama Power Co,Greene,AL,32.6017,-87.7811
100,South Consolidated,16572,Salt River Project,Maricopa,AZ,33.466477,-111.7811
10002,ACE Cogeneration Facility,52,ACE Cogeneration Co,,,35.765767,-117.3836
10003,Colorado Energy Nations Company,19173,Colorado Energy Nations Company LLC,,,39.7606,-105.215
10003,Colorado Energy Nations Company,19173,Colorado Energy Nations Company LLC,Jefferson,CO,39.7606,-105.215
10004,Mosaic South Pierce Operations,9383,Mosaic Fertilizer LLC,Polk,FL,27.76522,-81.93879
10005,Dinosaur Point,9397,International Turbine Res Inc,,,37.0478,-121.1708
10008,Baptist Medical Center,1194,Baptist Memorial Hospital,,,30.314467,-81.66271
10008,Baptist Medical Center,1194,Baptist Memorial Hospital,Duval,FL,30.314467,-81.66271
1001,Cayuga,15470,"Duke Energy Indiana, LLC",Vermillion,IN,39.9242,-87.4244
10012,Covanta Warren Energy,4458,Covanta Warren Energy Resource Co LP,Warren,NJ,40.8205,-75.0112
10013,Covanta Hennepin Energy,4435,Covanta Energy Co,Hennepin,MN,44.9833,-93.28038
10014,Lucky Peak Power Plant Project,1932,Boise-Kuna Irrigation District,Ada,ID,43.528,-116.0583
10017,WestRock-West Point Mill,17465,WestRock-West Point Mill,King William,VA,37.5392,-76.8053
10018,Desert Peak Power Plant,34691,Ormat Nevada Inc,,,39.753999,-118.9535
10018,Desert Peak Power Plant,34691,Ormat Nevada Inc,Lyon,NV,39.753999,-118.9535
1002,Connersville,15470,"Duke Energy Indiana, LLC",,,39.6561,-85.1758
10020,Cutrale Citrus Juices USA I,4558,Cutrale Citrus Juices USA Inc,,,28.811828,-81.86527
10020,Cutrale Citrus Juices USA I,4558,Cutrale Citrus Juices USA Inc,Lake,FL,28.811828,-81.86527
10021,The Bellevue,1511,Bellevue Associates,,,39.949722,-75.165
10025,"RED-Rochester, LLC",5624,"RED-Rochester, LLC",,,43.1989,-77.6319
10025,"RED-Rochester, LLC",5624,"RED-Rochester, LLC",Monroe,NY,43.1989,-77.6319
10026,Encina Water Pollution Control,5901,Encina Joint Powers Authority,,,33.1165,-117.3215
10026,Encina Water Pollution Control,5901,Encina Joint Powers Authority,San Diego,CA,33.1165,-117.3215
10027,Windpark Unlimited 1,61279,"HH Management, LLC",Riverside,CA,33.9447,-116.6222
10028,Felt Hydroelectric Plant,3123,CDM Hydroelectric Co,Teton,ID,43.909653,-111.2854
10029,General Electric Aircraft Engines,7049,General Electric Aircraft Engines,,,42.45,-70.9739
10029,General Electric Aircraft Engines,7049,General Electric Aircraft Engines,Essex,MA,42.45,-70.9739
10030,NRG Energy Center Dover,7860,NRG Energy Center Dover LLC,Kent,DE,39.149549,-75.54734
10031,General Mills Operations Lodi,7175,General Mills Operations Inc,,,38.1425,-121.2994
10032,Powertrain Warren General Motors,7239,General Motors Corp-Warren,,,42.467677,-83.03921
10033,Greater Detroit Resource Recovery,15430,Detroit Renewable Power,Wayne,MI,42.3678,-83.0514
10034,Gilroy Power Plant,3028,Calpine Gilroy Cogen LP,Santa Clara,CA,37.0001,-121.5367
10036,Hillsborough Hosiery,56590,Silverstreet Hydro,Hillsborough,NH,43.11391,-71.894
10037,Siskiyou Forest Products,55767,Fred Duchi and Associates,,,40.523056,-122.3817
10039,John Deere Harvester Works,9788,John Deere Harvester Works Co,,,41.524315,-90.43659
1004,Edwardsport,15470,"Duke Energy Indiana, LLC",,,38.8067,-87.2472
1004,Edwardsport,15470,"Duke Energy Indiana, LLC",Knox,IN,38.8067,-87.2472
10042,Kaweah Delta District Hospital,10077,Kaweah Delta Hospital,,,36.3275,-119.2947
10042,Kaweah Delta District Hospital,10077,Kaweah Delta Hospital,Tulare,CA,36.3275,-119.2947
10043,Logan Generating Company LP,14932,US Operating Services Company,Gloucester,NJ,39.7928,-75.40667
10044,Schweitzer Mauduit International,16779,Schweitzer-Maudit Intl Inc,,,40.402778,-74.37556
10045,Kinsleys Landfill,10277,Kinsley's Landfill Inc,,,39.8217,-75.0914
10047,Orange County New York,7014,San Marcos Energy LLC,,,41.395277,-74.33306
10048,Central Utilities Plant LAX,10810,LAX Airport,,,33.943965,-118.4043
10049,Little Mac Project,54696,Little Mac Power Company,Twin Falls,ID,42.629637,-114.6616
1005,Markland,15470,"Duke Energy Indiana, LLC",Switzerland,IN,38.7795,-84.964
10050,Fourche Creek Wastewater,11079,Little Rock Wastewater Utility,,,34.6968,-92.165
10050,Fourche Creek Wastewater,11079,Little Rock Wastewater Utility,Pulaski,AR,34.6968,-92.165
10051,Lockville Hydropower,49753,"Brooks Energy, LLC",Chatham,NC,35.6184,-79.0912
10052,Fairhaven Power,54788,DG Fairhaven Power LLC,Humboldt,CA,40.7995,-124.2028
10053,Perma Treat Corporation,779,Perma Treat Corporation,,,45.5139,-68.3506
10058,General Electric Diesel Engine Plant,7075,General Electric Co,Mercer,PA,41.1694,-80.1055
10059,General Electric Great Falls Upper Hydro,7080,Aclara Meters LLC,Strafford,NH,43.2597,-70.8597
1006,Miami Wabash,15470,"Duke Energy Indiana, LLC",,,40.7884,-85.8178
10061,"Mars Wrigley Confectionery US, LLC",11401,"Mars Wrigley Confectionery US, LLC",WARREN,NJ,40.8625,-74.825
10062,Miami Dade County Resource Recovery Fac,50085,Covanta Southeast Florida Renewable Ltd,Miami Dade,FL,25.8356,-80.3566
10063,Derby Hydro,11943,McCallum Enterprises I LP,Fairfield,CT,41.324308,-73.10211
10066,Lockwood Hydroelectric Facility,12401,Merimil Ltd Partnership,Kennebec,ME,44.5467,-69.6292
1007,Noblesville,15470,"Duke Energy Indiana, LLC",Hamilton,IN,40.0969,-85.9714
