"","Year","State_SF","Biomass","Coal","Hydroelectric","Natural_Gas","Nuclear","Oil","Other","Solar","Wind"
"1",2001,"AL",1768896850000,59110747140000,207643800000,4494270690000,364284756000,320007276000,25741992000,0,0
"2",2001,"AR",733318545000,20306867040000,61157280000,1311343390000,177369468000,641384529000,0,0,0
"3",2001,"FL",1066684265000,55946746800000,3545232000,21254063600000,379000848000,29411974641000,1083263800000,0,0
"4",2001,"GA",1428308510000,61136339840000,55041672000,1821166340000,404181228000,842097521000,0,0,0
"5",2001,"KY",4632720000,79353214660000,99728736000,307997340000,0,111552338000,0,0,0
"6",2001,"LA",1137049520000,18000061900000,17573208000,16977671410000,208033620000,1391534530000,556742072000,0,0
"7",2001,"MS",856261195000,15754591120000,0,8897040250000,119086584000,3752303965000,5959760000,0,0
"8",2001,"NC",830523700000,59777227560000,68995200000,743165850000,453300300000,465498247000,123652064000,0,0
"9",2001,"SC",420061895000,29959132960000,29146824000,568907640000,598439976000,214985235000,0,0,0
"10",2001,"TN",388285180000,48976892760000,159618312000,219276470000,342917172000,290036372000,0,0,0
"11",2001,"VA",583703805000,30474992500000,23976384000,1821893500000,309109560000,3955720994000,0,0,0
"12",2002,"AL",1814199730000,59070913180000,217808760000,7595142100000,382283112000,222510213000,77574840000,0,0
"13",2002,"AR",768854010000,18940663400000,82459896000,2245259870000,174706608000,114419834000,107838792000,0,0
"14",2002,"FL",970907920000,54059642260000,4418736000,30949620590000,404450760000,24652094740000,884877104000,0,0
"15",2002,"GA",3090942345000,64636362240000,58956432000,3594626280000,373292820000,863131689000,18676232000,0,0
"16",2002,"KY",177250525000,73787279340000,103425648000,616930090000,0,2273532906000,0,0,0
"17",2002,"LA",1213541295000,18076814720000,21394584000,20815478810000,207663936000,152273420000,398350232000,0,0
"18",2002,"MS",603790080000,12184505460000,0,8375249540000,120713508000,10261267000,1.2324e+10,0,0
"19",2002,"NC",855433300000,61653947620000,93079272000,1264077500000,475522188000,416818251000,112839176000,0,0
"20",2002,"SC",603542245000,30297132040000,33084072000,2195742920000,639910248000,202909060000,0,0,0
"21",2002,"TN",378937775000,48955402200000,182174664000,234604650000,330887100000,195284394000,0,0,0
"22",2002,"VA",728714440000,30735497480000,20362728000,1890620900000,328153956000,2746701998000,0,0,0
"23",2003,"AL",1537426235000,62857263180000,300267648000,5819029300000,380123436000,223219757000,14646600000,0,0
"24",2003,"AR",484142520000,19217001760000,63918096000,1699633110000,176272992000,209480405000,67948216000,0,0
"25",2003,"FL",783633415000,55326989160000,6304008000,33149748030000,371753772000,27077925988000,68317304000,0,0
"26",2003,"GA",1040994300000,64387494700000,102897816000,2057317920000,399079788000,757783463000,13272632000,0,0
"27",2003,"KY",36963790000,74145834180000,100393248000,208444040000,0,2188867008000,13696704000,0,0
"28",2003,"LA",832814840000,18758887440000,21407784000,20197195830000,193515864000,839737994000,281665336000,0,0
"29",2003,"MS",275821440000,14007735280000,0,4559084460000,130829472000,1181683227000,7535336000,0,0
"30",2003,"NC",821092390000,61220406240000,188762904000,722052730000,490882800000,531051170000,27031904000,0,0
"31",2003,"SC",585578330000,30624824540000,87496296000,810455100000,605012280000,314571348000,13510264000,0,0
"32",2003,"TN",346281755000,45023536640000,274287360000,304038140000,289830960000,285764448000,3264912000,0,0
