"","Year","Biomass","Coal","Hydroelectric","Natural_Gas","Nuclear","Oil","Other","Solar","Wind"
"1",2001,19005621,583898554,30267777,119217952,279643626,56476256,2840759,0,0
"2",2002,23105389,576095317,34048533,162810925,286465353,43451484,2551393,0,0
"3",2003,15539509,580087422,49520534,146467676,277924469,51584236,808369,0,0
"4",2004,21707809,582642010,43252765,174818688,287580496,55965559,3134407,0,0
"5",2005,20993963,598473010,41171920,193538404,280271960,52845279,3073159,0,0
"6",2006,27027165,603791696,30249277,215501212,280762715,31190787,3279984,0,52042
"7",2007,26871850,616202537,23453241,239050056,287295337,29537587,3168313,0,47736
"8",2008,25490294,592903060,27475488,235504347,288252492,19938558,2571763,0,48498
"9",2009,24517683,496077088,45061707,278445496,291638916,16015376,2715293,9470,51402
"10",2010,24693940,535509572,36845347,327486246,285732642,17428122,3080819,80440,40570
"11",2011,26082633,481980079,35203572,356159806,280720464,11319948,3346602,122879,53143
"12",2012,25903816,402603134,29802080,432953260,275457563,7123120,3011405,276486,47492
"13",2013,27925599,406021246,48055517,393606812,292322681,9959738,3141777,462687,46745
"14",2014,29606706,427793555,37094736,399303783,295000469,10666904,2972162,950954,51140
"15",2015,30582936,344059630,39276019,489205338,293038789,9547324,3355470,1563375,45841
"16",2016,30633145,325651537,33498328,521617199,298094667,10042257,3290566,4344093,43980
"17",2017,31188554,291704218,35443521,511627456,300062523,7675348,3029641,8328953,514070
