"","Year","State_SF","Biomass","Coal","Hydroelectric","Natural_Gas","Nuclear","Oil","Other","Solar","Wind"
"1",2001,"AL",3647210,72086277,8651825,9171981,30357063,436572,40731,0,0
"2",2001,"AR",1511997,24764472,2548220,2676211,14780789,875013,0,0,0
"3",2001,"FL",2199349,68227740,147718,43375640,31583404,40125477,1714025,0,0
"4",2001,"GA",2944966,74556512,2293403,3716666,33681769,1148837,0,0,0
"5",2001,"KY",9552,96772213,4155364,628566,0,152186,0,0,0
"6",2001,"LA",2344432,21951295,732217,34648309,17336135,1898410,880921,0,0
"7",2001,"MS",1765487,19212916,0,18157225,9923882,5119105,9430,0,0
"8",2001,"NC",1712420,72899058,2874800,1516665,37775025,635059,195652,0,0
"9",2001,"SC",866107,36535528,1214451,1161036,49869998,293295,0,0,0
"10",2001,"TN",800588,59727918,6650763,447503,28576431,395684,0,0,0
"11",2001,"VA",1203513,37164625,999016,3718150,25759130,5396618,0,0,0
"12",2002,"AL",3740618,72037699,9075365,15500290,31856926,303561,122745,0,0
"13",2002,"AR",1585266,23098370,3435829,4582163,14558884,156098,170631,0,0
"14",2002,"FL",2001872,65926393,184114,63162491,33704230,33631780,1400122,0,0
"15",2002,"GA",6373077,78824832,2456518,7335972,31107735,1177533,29551,0,0
"16",2002,"KY",365465,89984487,4309402,1259041,0,3101682,0,0,0
"17",2002,"LA",2502147,22044896,891441,42480569,17305328,207740,630301,0,0
"18",2002,"MS",1244928,14859153,0,17092346,10059459,13999,19500,0,0
"19",2002,"NC",1763780,75187741,3878303,2579750,39626849,568647,178543,0,0
"20",2002,"SC",1244417,36947722,1378503,4481108,53325854,276820,0,0,0
"21",2002,"TN",781315,59701710,7590611,478785,27573925,266418,0,0,0
"22",2002,"VA",1502504,37482314,848447,3858410,27346163,3747206,0,0,0
"23",2003,"AL",3169951,76655199,12511152,11875570,31676953,304529,23175,0,0
"24",2003,"AR",998232,23435368,2663254,3468639,14689416,285785,107513,0,0
"25",2003,"FL",1615739,67471938,262667,67652547,30979481,36941236,108097,0,0
"26",2003,"GA",2146380,78521335,4287409,4198608,33256649,1033811,21001,0,0
"27",2003,"KY",76214,90421749,4183052,425396,0,2986176,21672,0,0
"28",2003,"LA",1717144,22876692,891991,41218767,16126322,1145618,445673,0,0
